study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.0023,4.38E-04,15,15,321.5153,320.7773,17.54169,19.22589,0.03,20,96,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,, 
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.015382,1.06E-04,15,15,310.0833,314.89,8.761074,8.862444,0.03,20,120,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.035117,3.13E-04,15,15,310.378,321.4713,9.400143,19.75954,0.03,20,144,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.014859,2.40E-04,15,15,318.8213,323.594,12.21486,14.94851,0.03,20,168,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.454729,2.20E-04,15,15,321.764,507.0187,17.93735,7.075285,0.03,20,192,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.419185,1.69E-04,15,15,336.3373,511.4753,15.41533,10.73425,0.03,20,216,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.441164,8.79E-05,15,15,329.5053,512.2213,10.19253,9.736006,0.03,20,240,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.12958,5.82E-04,15,15,4380.473,3848.088,351.2199,184.4311,0.03,20,24,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.16688,8.07E-04,15,15,4363.193,3692.577,234.4694,354.4039,0.03,20,48,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.11419,8.02E-04,15,15,4294.291,3830.895,306.2103,319.2505,0.03,20,72,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.11561,7.20E-04,15,15,4176.969,3720.955,161.6472,358.8914,0.03,20,96,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.54127,1.20E-03,15,15,4167.224,2425.365,127.6935,317.4205,0.03,20,120,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.62534,1.77E-03,15,15,4161.342,2226.65,142.9955,354.0935,0.03,20,144,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.55678,5.77E-04,15,15,4167.759,2388.343,228.4446,179.4645,0.03,20,168,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-1.32222,4.50E-03,15,15,4247.125,1132.04,377.662,276.3287,0.03,20,192,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-2.03785,5.70E-03,15,15,4038.162,526.208,305.1266,148.6299,0.03,20,216,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-2.00217,3.81E-02,15,15,4178.118,564.2233,431.6579,422.6864,0.03,20,240,white led,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.098249,5.61E-04,15,15,321.31,354.4813,21.77561,21.89453,0.03,20,24,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176337,,en,china,0.129148,2.41E-04,15,15,332.6853,378.5487,19.50672,4.964461,0.03,20,48,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176338,,en,china,0.067583,3.93E-04,15,15,337.9313,361.5593,18.17314,19.78885,0.03,20,72,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176339,,en,china,0.118089,4.09E-04,15,15,321.5153,361.8153,17.54169,20.33266,0.03,20,96,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176340,,en,china,0.522966,1.75E-04,15,15,310.0833,523.118,8.761074,22.40092,0.03,20,120,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176341,,en,china,0.486835,7.48E-05,15,15,310.378,505.034,9.400143,7.216585,0.03,20,144,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176342,,en,china,0.479091,1.83E-04,15,15,318.8213,514.7707,12.21486,18.34898,0.03,20,168,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176343,,en,china,0.442898,2.74E-04,15,15,321.764,501.0553,17.93735,15.91439,0.03,20,192,365,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
